time, Ex_field_energy, Ex_max_norm
4.1500000000e+00 4.7746317827e+02 6.8396100154e+00
4.2000000000e+00 4.7630205725e+02 5.5823005540e+00
4.2500000000e+00 4.7707906847e+02 6.4428644885e+00
4.3000000000e+00 4.7994099289e+02 7.1864571887e+00
4.3500000000e+00 4.8128194713e+02 5.6553492291e+00
4.4000000000e+00 4.8218071092e+02 6.0710109402e+00
4.4500000000e+00 4.8322210630e+02 6.7210032830e+00
4.5000000000e+00 4.8590697013e+02 5.9360367095e+00
4.5500000000e+00 4.8442151294e+02 6.1046001704e+00
time, Ex_field_energy, Ex_max_norm
0.0000000000e+00 5.5855047718e+02 6.4288326101e+00
5.0000000000e-02 5.5753944927e+02 5.9103320476e+00
1.0000000000e-01 5.5481534391e+02 6.4855277881e+00
1.5000000000e-01 5.5128152105e+02 8.8988565913e+00
2.0000000000e-01 5.4958719989e+02 7.0468384501e+00
2.5000000000e-01 5.4765305036e+02 7.0302042059e+00
3.0000000000e-01 5.4604521175e+02 5.7673576598e+00
3.5000000000e-01 5.4640741973e+02 6.5769794996e+00
4.0000000000e-01 5.4408082682e+02 6.4210177312e+00
4.5000000000e-01 5.3840950664e+02 6.0235519020e+00
5.0000000000e-01 5.3515083172e+02 6.5360738475e+00
5.5000000000e-01 5.3593427580e+02 6.1590789603e+00
6.0000000000e-01 5.2953870415e+02 6.3120058955e+00
6.5000000000e-01 5.2819671442e+02 5.7067486043e+00
7.0000000000e-01 5.1923544259e+02 7.8863980251e+00
7.5000000000e-01 5.1200034857e+02 5.4175276729e+00
8.0000000000e-01 5.1470374308e+02 7.1024485646e+00
8.5000000000e-01 5.1394522255e+02 7.9166067110e+00
9.0000000000e-01 5.0678733574e+02 6.3869156482e+00
9.5000000000e-01 5.0650556148e+02 5.2332088636e+00
1.0000000000e+00 5.1015552664e+02 7.1310589646e+00
1.0500000000e+00 5.0896519126e+02 5.7676478119e+00
1.1000000000e+00 5.1127342562e+02 6.1208512623e+00
1.1500000000e+00 5.0872518808e+02 6.4323604402e+00
1.2000000000e+00 5.0534494237e+02 5.9979786312e+00
1.2500000000e+00 5.0594171266e+02 6.3157069622e+00
1.3000000000e+00 5.0244716900e+02 6.4270433848e+00
1.3500000000e+00 5.0380556730e+02 6.9794940656e+00
1.4000000000e+00 5.0300618181e+02 6.0464999349e+00
1.4500000000e+00 4.9874952876e+02 6.2940181744e+00
1.5000000000e+00 4.9960969329e+02 5.9172645207e+00
1.5500000000e+00 4.9913591077e+02 6.8570883037e+00
1.6000000000e+00 4.9775316077e+02 5.9715188528e+00
1.6500000000e+00 4.9864099921e+02 6.3083912165e+00
1.7000000000e+00 4.9711186981e+02 6.5998915439e+00
1.7500000000e+00 4.9958651855e+02 6.9069653129e+00
1.8000000000e+00 5.0070378800e+02 8.4611508510e+00
1.8500000000e+00 5.0223518203e+02 7.0191654447e+00
1.9000000000e+00 5.0515156171e+02 6.6064874799e+00
1.9500000000e+00 5.0154121372e+02 6.5352626482e+00
2.0000000000e+00 5.0578696418e+02 6.2179027778e+00
2.0500000000e+00 5.0474221522e+02 6.5708396021e+00
2.1000000000e+00 5.0364872942e+02 7.0141362173e+00
2.1500000000e+00 5.1063256397e+02 6.5459375156e+00
2.2000000000e+00 5.0752126164e+02 6.7446152203e+00
2.2500000000e+00 5.0755150223e+02 5.9521221256e+00
2.3000000000e+00 5.0493939590e+02 5.5988426946e+00
2.3500000000e+00 5.0521602031e+02 5.7283681724e+00
2.4000000000e+00 5.0805430156e+02 5.6185448662e+00
2.4500000000e+00 5.0557816261e+02 5.6725399559e+00
time, Ex_field_energy, Ex_max_norm
0.0000000000e+00 5.5855047719e+02 6.4288326100e+00
5.0000000000e-02 5.5753944927e+02 5.9103320475e+00
1.0000000000e-01 5.5481534391e+02 6.4855277881e+00
1.5000000000e-01 5.5128152106e+02 8.8988565913e+00
2.0000000000e-01 5.4958719990e+02 7.0468384501e+00
2.5000000000e-01 5.4765305036e+02 7.0302042060e+00
3.0000000000e-01 5.4604521175e+02 5.7673576598e+00
3.5000000000e-01 5.4640741973e+02 6.5769794999e+00
4.0000000000e-01 5.4408082682e+02 6.4210177315e+00
4.5000000000e-01 5.3840950664e+02 6.0235519021e+00
5.0000000000e-01 5.3515083172e+02 6.5360738474e+00
5.5000000000e-01 5.3593427580e+02 6.1590789602e+00
6.0000000000e-01 5.2953870415e+02 6.3120058955e+00
6.5000000000e-01 5.2819671441e+02 5.7067486042e+00
7.0000000000e-01 5.1923544259e+02 7.8863980252e+00
7.5000000000e-01 5.1200034857e+02 5.4175276730e+00
8.0000000000e-01 5.1470374308e+02 7.1024485645e+00
8.5000000000e-01 5.1394522255e+02 7.9166067126e+00
9.0000000000e-01 5.0678733574e+02 6.3869156498e+00
9.5000000000e-01 5.0650556147e+02 5.2332088632e+00
1.0000000000e+00 5.1015552663e+02 7.1310589637e+00
1.0500000000e+00 5.0896519125e+02 5.7676478117e+00
1.1000000000e+00 5.1127342562e+02 6.1208512622e+00
1.1500000000e+00 5.0872518808e+02 6.4323604399e+00
1.2000000000e+00 5.0534494237e+02 5.9979786303e+00
1.2500000000e+00 5.0594171266e+02 6.3157069621e+00
